🔄 2025-09-11 16:50:02 Баланс: 5000$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-11 16:55:10 Баланс: 4344.58310212823$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-11 17:01:38 Баланс: 4334.57409523804$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-11 17:08:41 Баланс: 4304.54710065291$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-11 17:14:57 Баланс: 4294.53808811163$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-11 17:21:39 Баланс: 4294.53808811163$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-11 17:28:00 Баланс: 4294.53808811163$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-11 17:34:25 Баланс: 4284.52917290788$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-11 17:40:35 Баланс: 4284.52917290788$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-11 17:47:12 Баланс: 4274.5201729076$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-11 17:55:25 Баланс: 4274.5201729076$ | PnL: 0 💵 | Сделок: 0 | WinRate: 0%
🔄 2025-09-11 18:04:36 Баланс: 4214.95443088971$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 18:11:16 Баланс: 4214.95443088971$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 18:18:34 Баланс: 4214.95443088971$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 18:25:46 Баланс: 4214.95443088971$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 18:32:36 Баланс: 4214.95443088971$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 18:39:33 Баланс: 4204.94542285248$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 18:46:02 Баланс: 4194.93649339592$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 18:52:24 Баланс: 4194.93649339592$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 18:58:46 Баланс: 4194.93649339592$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 19:05:14 Баланс: 4194.93649339592$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 19:11:41 Баланс: 4184.9274954898$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 19:18:13 Баланс: 4184.9274954898$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 19:24:32 Баланс: 4174.91849597023$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 19:30:56 Баланс: 4164.90949699816$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 19:37:20 Баланс: 4144.89153399342$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 19:43:39 Баланс: 4144.89153399342$ | PnL: 0.49734021 💵 | Сделок: 1 | WinRate: 100%
🔄 2025-09-11 19:49:59 Баланс: 4135.39622357158$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 19:56:24 Баланс: 4125.38722337921$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 20:02:46 Баланс: 4125.38722337921$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 20:09:05 Баланс: 4115.3782248105$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 20:15:25 Баланс: 4105.36922590148$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 20:21:58 Баланс: 4105.36922590148$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 20:28:25 Баланс: 4105.36922590148$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 20:34:45 Баланс: 4105.36922590148$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 20:41:08 Баланс: 4105.36922590148$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 20:47:29 Баланс: 4105.36922590148$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 20:53:55 Баланс: 4105.36922590148$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 21:00:19 Баланс: 4105.36922590148$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
🔄 2025-09-11 21:06:43 Баланс: 4095.3602357103$ | PnL: 1.02001273 💵 | Сделок: 2 | WinRate: 100%
